VR_NUMBER,LATITUDE,LONGITUDE,POSITION_UTC_DATE
103682,45.01442,-65.56573,2018-05-30 06:45:03
19636,45.10135,-65.48398999999999,2018-05-30 06:45:03
158986,46.81608,-62.820100000000004,2018-05-30 06:45:05
106350,43.53,-65.740555,2018-05-30 06:45:09
102852,44.646944,-63.571666,2018-05-30 06:45:11
176301,47.38104,-61.85556,2018-05-30 06:45:20
160781,46.6272,-61.0165,2018-05-30 06:45:33
107948,45.504166,-60.957221999999994,2018-05-30 06:45:51
104992,44.482222,-63.583887999999995,2018-05-30 06:46:00
105790,45.504000000000005,-60.957,2018-05-30 06:46:00
105622,45.501943999999995,-60.963333,2018-05-30 06:46:19
106891,45.055,-66.794722,2018-05-30 06:46:33
105966,44.172776999999996,-63.337500000000006,2018-05-30 06:47:39
7417,44.682500000000005,-66.281,2018-05-30 06:48:00
102897,44.459500000000006,-64.3133,2018-05-30 06:48:19
105545,43.8155,-66.1515,2018-05-30 06:49:00
101440,44.625833,-65.751944,2018-05-30 06:49:27
158986,46.81118,-62.83410000000001,2018-05-30 06:50:05
176301,47.3814,-61.85592,2018-05-30 06:50:40
160781,46.6272,-61.0165,2018-05-30 06:51:01
104479,43.529939999999996,-65.74032,2018-05-30 06:51:44
103800,44.122,-66.2225,2018-05-30 06:52:00
102365,44.551944,-66.036388,2018-05-30 06:52:04
105625,45.504166,-60.957221999999994,2018-05-30 06:52:52
105701,44.6285,-66.724,2018-05-30 06:53:00
107978,43.68,-65.30194399999999,2018-05-30 06:53:03
107218,45.016666,-65.60416599999999,2018-05-30 06:53:15
106231,45.094722,-66.41666599999999,2018-05-30 06:53:29
106256,45.919722,-59.9675,2018-05-30 06:53:42
73907,45.057221999999996,-66.796666,2018-05-30 06:54:06
176301,47.38104,-61.85556,2018-05-30 06:54:56
158986,46.80708,-62.845389999999995,2018-05-30 06:55:05
107949,43.7,-65.107222,2018-05-30 06:55:08
160781,46.6272,-61.0165,2018-05-30 06:55:34
107955,43.236388,-65.54888799999999,2018-05-30 06:55:45
108043,43.45903,-65.65017999999999,2018-05-30 06:55:50
108311,43.507222,-65.909166,2018-05-30 06:56:21
107838,45.9014,-59.9363,2018-05-30 06:57:13
105907,43.6169,-65.7865,2018-05-30 06:57:36
101069,44.955000000000005,-65.89200000000001,2018-05-30 06:58:00
7866,45.1225,-66.3515,2018-05-30 06:58:00
104490,43.681039999999996,-65.33958,2018-05-30 06:58:01
105908,45.503054999999996,-60.957221999999994,2018-05-30 06:58:33
102056,44.291944,-64.355833,2018-05-30 06:58:42
107899,41.698522,-62.279092,2018-05-30 07:00:00
106605,41.90915,-66.10905,2018-05-30 07:00:00
105736,41.91523,-66.80534999999999,2018-05-30 07:00:00
106604,42.0672,-66.68961,2018-05-30 07:00:00
107314,42.23296,-66.15353,2018-05-30 07:00:00
107314,42.23296,-66.15351,2018-05-30 07:00:00
106881,42.697309999999995,-66.10452,2018-05-30 07:00:00
106881,42.697309999999995,-66.10446,2018-05-30 07:00:00
106658,42.871398,-67.46987399999999,2018-05-30 07:00:00
101881,43.277206,-67.481976,2018-05-30 07:00:00
101962,43.4365,-67.1875,2018-05-30 07:00:00
157272,43.4395,-67.13900000000001,2018-05-30 07:00:00
101873,43.451,-67.2385,2018-05-30 07:00:00
108043,43.459039999999995,-65.65017999999999,2018-05-30 07:00:00
105303,43.460626,-66.736794,2018-05-30 07:00:00
105099,43.469,-65.858,2018-05-30 07:00:00
4062,43.54013,-60.531279999999995,2018-05-30 07:00:00
106854,43.617000000000004,-65.7865,2018-05-30 07:00:00
104984,43.617000000000004,-65.78625,2018-05-30 07:00:00
158555,43.618469,-65.786648,2018-05-30 07:00:00
104889,43.630055999999996,-65.769911,2018-05-30 07:00:00
104490,43.681059999999995,-65.33958,2018-05-30 07:00:00
101019,43.74417,-65.31775999999999,2018-05-30 07:00:00
107726,44.130449,-63.442012,2018-05-30 07:00:00
18840,44.1535,-64.54562,2018-05-30 07:00:00
102380,44.454,-63.569500000000005,2018-05-30 07:00:00
104244,44.47392,-64.08855,2018-05-30 07:00:00
107392,44.475429999999996,-63.597429999999996,2018-05-30 07:00:00
100009,44.480149999999995,-63.57803,2018-05-30 07:00:00
108007,44.4929,-66.12034,2018-05-30 07:00:00
108069,44.59171,-65.99078,2018-05-30 07:00:00
108354,44.61118,-63.495639999999995,2018-05-30 07:00:00
103157,44.625479999999996,-65.75216999999999,2018-05-30 07:00:00
20010,44.65658,-63.94612,2018-05-30 07:00:00
101810,44.66095,-66.75637,2018-05-30 07:00:00
106404,44.66186,-66.75610999999999,2018-05-30 07:00:00
102380,44.716,-62.1505,2018-05-30 07:00:00
108090,44.76236,-66.74902999999999,2018-05-30 07:00:00
108105,44.767398,-65.907498,2018-05-30 07:00:00
107204,44.79673,-60.50528,2018-05-30 07:00:00
5665,44.8346,-65.87862,2018-05-30 07:00:00
5717,44.859700000000004,-65.9118,2018-05-30 07:00:00
101593,44.891459999999995,-65.99146,2018-05-30 07:00:00
106661,44.903479999999995,-65.91691999999999,2018-05-30 07:00:00
103394,44.943523,-66.920558,2018-05-30 07:00:00
106991,44.94921,-65.26545999999999,2018-05-30 07:00:00
