UnitArea,Shape_Leng,Shape_Area,ddlat,ddlong
4WH,4.99999489500,1.08333180936,44.13887753460,-61.55342437270
4WJ,5.33333441800,1.44445014478,43.16024463750,-61.47756877520
4WK,11.79819865860,1.24855048976,44.50308008860,-62.54157836100
4WL,4.99999870400,1.55555367390,43.33332302880,-62.75000230220
4WM,12.66662610690,5.77774589386,42.06649929120,-61.42066974500
4WW,14.66659519600,10.66659356630,40.26952640800,-60.95962340210
4XL,7.33332616880,2.30556408324,41.47087539560,-64.67169065970
4XM,7.77982064289,0.84782982146,44.08555406920,-63.86065384370
4XN,7.66665821700,2.83332229941,42.70423837290,-64.25490130580
4XO,10.65364097520,1.33256466791,43.34526948530,-65.13856749090
4XP,5.97201984182,1.37619014340,42.62071074740,-66.52421705460
4XQ,7.69881666130,1.48069809253,43.45386892040,-66.71930939290
